0,START,minigame_0&isKioskConnected_0,6441.372
2,PROB_START,probNum_1&correctPos_1.25,6446.983
4,ATTEMPT_START,,6446.983
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.72165,6452.704
4,ATTEMPT_START,,6452.704
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6453.872
4,ATTEMPT_START,,6453.872
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6454.503
4,ATTEMPT_START,,6454.503
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6455.07
4,ATTEMPT_START,,6455.07
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6455.337
4,ATTEMPT_START,,6455.337
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6455.439
4,ATTEMPT_START,,6455.439
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6462.803
4,ATTEMPT_START,,6462.803
5,ATTEMPT_END,skele_72057594037943752&distFromCorrect_3.751738,6475.271
4,ATTEMPT_START,,6475.271
1,END,score_0,6535.272
